  792445 : load <- getelementptr         , call <- or                    , call <- shl                   , call <- load                  , br <- icmp                    
  792445 : call <- or                    , call <- shl                   , call <- load                  , br <- icmp                    , br <- icmp                    
  792445 : call <- trunc                 , call <- trunc                 , call <- load                  , store <- call                 , zext <- phi                   
  792445 : call <- trunc                 , call <- load                  , store <- call                 , zext <- phi                   , getelementptr <- zext         
  792445 : call <- load                  , store <- call                 , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         
  792445 : store <- call                 , zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- shl                   
  792445 : zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- shl                   , call <- or                    
  792445 : getelementptr <- zext         , load <- getelementptr         , call <- shl                   , call <- or                    , call <- load                  
  792445 : load <- getelementptr         , call <- shl                   , call <- or                    , call <- load                  , br <- icmp                    
  792445 : call <- shl                   , call <- or                    , call <- load                  , br <- icmp                    , br <- icmp                    
  792444 : zext <- phi                   , getelementptr <- zext         , load <- getelementptr         , call <- or                    , call <- or                    
  792444 : getelementptr <- zext         , load <- getelementptr         , call <- or                    , call <- or                    , call <- load                  
  792444 : load <- getelementptr         , call <- or                    , call <- or                    , call <- load                  , br <- icmp                    
  792444 : call <- or                    , call <- or                    , call <- load                  , br <- icmp                    , br <- icmp                    
  792444 : call <- trunc                 , call <- trunc                 , call <- load                  , store <- call                 , add <- phi                    
  792444 : call <- trunc                 , call <- load                  , store <- call                 , add <- phi                    , icmp <- add                   
  792444 : call <- load                  , store <- call                 , add <- phi                    , icmp <- add                   , br <- icmp                    
  789349 : store <- call                 , add <- phi                    , icmp <- add                   , br <- icmp                    , shl <- phi                    
  786432 : shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         , ashr <- load                  
  786432 : getelementptr <- getelementptr, getelementptr <- shl          , load <- getelementptr         , ashr <- load                  , store <- ashr                 
  786432 : getelementptr <- shl          , load <- getelementptr         , ashr <- load                  , store <- ashr                 , store <- getelementptr        
  786432 : load <- getelementptr         , ashr <- load                  , store <- ashr                 , store <- getelementptr        , add <- phi                    
  786432 : ashr <- load                  , store <- ashr                 , store <- getelementptr        , add <- phi                    , icmp <- add                   
  786432 : store <- ashr                 , store <- getelementptr        , add <- phi                    , icmp <- add                   , br <- icmp                    
  783360 : store <- getelementptr        , add <- phi                    , icmp <- add                   , br <- icmp                    , shl <- phi                    
  708616 : load <- getelementptr         , and <- load                   , switch <- and                 , trunc <- phi                  , add <- phi                    
  708616 : and <- load                   , switch <- and                 , trunc <- phi                  , add <- phi                    , add <- trunc                  
  708616 : switch <- and                 , trunc <- phi                  , add <- phi                    , add <- trunc                  , and <- add                    
  708616 : trunc <- phi                  , add <- phi                    , add <- trunc                  , and <- add                    , zext <- and                   
  708616 : br <- icmp                    , add <- phi                    , icmp <- add                   , br <- icmp                    , icmp <- and                   
  708616 : add <- phi                    , icmp <- add                   , br <- icmp                    , icmp <- and                   , br <- icmp                    
  630500 : icmp <- add                   , br <- icmp                    , icmp <- and                   , br <- icmp                    , and <- add                    
  630500 : br <- icmp                    , icmp <- and                   , br <- icmp                    , and <- add                    , icmp <- and                   
  630500 : icmp <- and                   , br <- icmp                    , and <- add                    , icmp <- and                   , zext <- icmp                  
  630500 : br <- icmp                    , and <- add                    , icmp <- and                   , zext <- icmp                  , trunc <- phi                  
  630500 : and <- add                    , icmp <- and                   , zext <- icmp                  , trunc <- phi                  , shl <- trunc                  
  630500 : icmp <- and                   , zext <- icmp                  , trunc <- phi                  , shl <- trunc                  , add <- shl                    
  630500 : zext <- icmp                  , trunc <- phi                  , shl <- trunc                  , add <- shl                    , add <- load                   
   83829 : load <- getelementptr         , and <- load                   , switch <- and                 , trunc <- phi                  , shl <- trunc                  
   83829 : and <- load                   , switch <- and                 , trunc <- phi                  , shl <- trunc                  , add <- shl                    
   83829 : switch <- and                 , trunc <- phi                  , shl <- trunc                  , add <- shl                    , add <- load                   
   78116 : icmp <- add                   , br <- icmp                    , icmp <- and                   , br <- icmp                    , add <- add                    
   78116 : br <- icmp                    , icmp <- and                   , br <- icmp                    , add <- add                    , icmp <- add                   
   78116 : icmp <- and                   , br <- icmp                    , add <- add                    , icmp <- add                   , select <- icmp                
   78116 : br <- icmp                    , add <- add                    , icmp <- add                   , select <- icmp                , trunc <- phi                  
   78116 : add <- add                    , icmp <- add                   , select <- icmp                , trunc <- phi                  , shl <- trunc                  
   78116 : icmp <- add                   , select <- icmp                , trunc <- phi                  , shl <- trunc                  , add <- shl                    
   78116 : select <- icmp                , trunc <- phi                  , shl <- trunc                  , add <- shl                    , add <- load                   
   32768 : ret <- call                   , lshr <- call                  , trunc <- lshr                 , and <- trunc                  , shl <- phi                    
   32768 : lshr <- call                  , trunc <- lshr                 , and <- trunc                  , shl <- phi                    , getelementptr <- getelementptr
   32768 : trunc <- lshr                 , and <- trunc                  , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          
   32768 : and <- trunc                  , shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , store <- and                  
   32768 : shl <- phi                    , getelementptr <- getelementptr, getelementptr <- shl          , store <- and                  , store <- getelementptr        
   32768 : getelementptr <- getelementptr, getelementptr <- shl          , store <- and                  , store <- getelementptr        , add <- phi                    
   32768 : getelementptr <- shl          , store <- and                  , store <- getelementptr        , add <- phi                    , icmp <- add                   
   32768 : store <- and                  , store <- getelementptr        , add <- phi                    , icmp <- add                   , br <- icmp                    
   32640 : store <- getelementptr        , add <- phi                    , icmp <- add                   , br <- icmp                    , ret <- call                   
